id,scrape_id,last_scraped,source,name,description,host_id,host_profile_id,host_name,hosts_time_as_user_years,hosts_time_as_user_months,hosts_time_as_host_years,hosts_time_as_host_months,host_location,host_about,host_is_superhost,host_picture_url,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
2992450,20260215064701,2026-02-15,city scrape,Luxury 2 bedroom apartment,"The apartment is located in a quiet neighborhood . Fully furnished. Linens and towels are provided. It's two blocks away from downtown Albany, and the Palace theater.",4621559,1462661762635155041,Kenneth,13,1,13,0,"New York, NY",I am a real down to earth & cool person.,f,https://a0.muscache.com/im/users/4621559/profile_pic/1363081467/original.jpg?aki_policy=profile_x_medium,1,t,t,THIRD WARD,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"[""Smoke alarm"", ""Kitchen"", ""Air conditioning"", ""Essentials"", ""TV with standard cable"", ""Wifi"", ""Heating"", ""Carbon monoxide alarm""]",28,1125,28,28,1125,1125,28.0,1125.0,t,0,16,46,321,2026-02-15,9,0,0,276,0,0,2014-07-01,2022-08-17,3.56,3.44,3.56,4.22,4.56,3.22,3.67,1,1,0,0,0.06
3820211,20260215064701,2026-02-15,city scrape,Restored Precinct in Center Sq. w/Parking,"Step into the charming and comfy 1BR/1BA apartment in the heart of Albany, NY. It promises a relaxing retreat bordering picturesque Washington Park and funky Lark Street while being within walking distance to vibrant downtown dining, shops, and exciting attractions.<br /><br />The lovely design and prime location will leave you in awe.<br /><br />✔ Comfy Queen Bedroom <br />✔ On-Demand Hot & Cold Filtered Water <br />✔ Open Design Living <br />✔ Fully Equipped Kitchen<br />✔ Smart TV & High-Speed Wi-Fi <br />✔ Free Parking<br /><br />See more below!",19648678,1463087024016718788,Ming,11,6,11,6,"Albany, NY","Hello! I’m a proud resident of Albany, NY, where i both live and work With a background in real estate and management, I bring years of expertise to hosting and caring for my own property here in Albany. In addition to managing vacation rentals, I also own a Japanese restaurant, so hospitality and guest satisfaction are at the heart of everything I do.

I look forward to welcoming you to Albany and sharing the best of the city with you!",t,https://a0.muscache.com/im/pictures/user/User/original/8ca5d0ce-dbd2-4cef-9a11-086c758cd7ba.jpeg?aki_policy=profile_x_medium,7,t,t,SIXTH WARD,42.65222,-73.76724,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Central air conditioning"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Heating"", ""Smart lock"", ""Pets allowed"", ""HDTV with standard cable, Apple TV"", ""Oven"", ""Noise decibel monitors on property"", ""Essentials"", ""Conditioner"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Free parking on premises"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free dryer \u2013 In unit"", ""Stove""]",1,1125,1,3,1125,1125,2.7,1125.0,t,0,0,26,301,2026-02-15,317,10,2,256,9,60,2014-08-15,2026-01-25,4.75,4.88,4.87,4.85,4.81,4.82,4.78,7,7,0,0,2.26
5651579,20260215064701,2026-02-15,city scrape,Large studio apt  by Capital Center & ESP@,"Spacious studio with hardwood floors, fully equipped kitchen, clean and bright. Large modern bath .  Full Cable TV and WiFi. Walking distance to the new Renaissance Hotel.<br />Walk to everything downtown! The Empire Plaza  and the Egg are  across the street.You can't get any closer, to the MVP Arena,  as well as Restaurants, bars, churches. Walk to  Capital and the new Capital Convention Center. Laundry facilities in the apartment",29288920,1465431505328745177,Gregg,10,11,10,11,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh.,f,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,2,t,t,SECOND WARD,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,2.0,"[""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Ceiling fan"", ""Shampoo"", ""Iron"", ""Hot water kettle"", ""Wine glasses"", ""Baking sheet"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Heating"", ""Long term stays allowed"", ""Oven"", ""Backyard"", ""Air conditioning"", ""Toaster"", ""Essentials"", ""Free washer \u2013 In unit"", ""Dishes and silverware"", ""Free parking on premises"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free street parking"", ""Lockbox"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Stove""]",1,1125,1,2,1125,1125,1.3,1125.0,t,18,31,35,35,2026-02-15,389,20,2,35,18,120,2015-05-08,2026-02-06,4.51,4.61,4.45,4.81,4.86,4.76,4.63,2,1,1,0,2.96
6015313,20260215064701,2026-02-15,city scrape,Comfortable 3BR Home w/ Central Air | Pine Hills,"Updated 3-bedroom home in Pine Hills near hospitals, bars, and UAlbany—2 full baths, central air, full kitchen, dining room + den with futon.",31223807,1465459398999270556,Ryan,10,10,0,0,"Albany, NY","Airbnb has transformed every part of my life for the better. What began as a small side hustle has grown into a cornerstone of my own American Dream. As a high school teacher, I’ve always cherished shaping the future, but hosting on Airbnb allows me to fully embrace and enhance my present. It’s become a creative outlet, enabling me to express my passion for art and design by curating unique, welcoming spaces for my guests. I hope to see you soon!",f,https://a0.muscache.com/im/pictures/user/User/original/a90b8b93-3824-4fa1-9611-254750655b54.jpeg?aki_policy=profile_x_medium,1,t,t,THIRTEENTH WARD,42.67198,-73.79339,Entire home,Entire home/apt,8,2.0,2 baths,3.0,3.0,"[""Smoke alarm"", ""Kitchen"", ""Gas stove"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Room-darkening shades"", ""Wine glasses"", ""Free parking garage on premises"", ""Clothing storage"", ""Heating"", ""Stainless steel oven"", ""Washer"", ""EV charger - level 2"", ""Backyard"", ""Air conditioning"", ""Conditioner"", ""Self check-in"", ""Refrigerator"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Keypad""]",2,365,2,2,365,365,2.0,365.0,t,20,45,71,324,2026-02-15,0,0,0,286,0,0,2021-02-07,2026-02-01,4.85,4.9,4.87,4.94,4.95,4.79,4.81,1,1,0,0,1.23
6623339,20260215064701,2026-02-15,city scrape,Center Sq. Loft in Converted Precinct w/ Parking,"Step into the charming and comfy 1BR/1BA apartment in the heart of Albany, NY. It promises a relaxing retreat bordering picturesque Washington Park and funky Lark Street while being within walking distance to the vibrant downtown, which offers easy access to restaurants, shops, and exciting attractions.<br /><br />The lovely design and the prime location will leave you in awe.<br /><br />✔ Comfy Queen Bedroom<br />✔ Open Design Living<br />✔ Fully Equipped Kitchen<br />✔ Smart TV<br />✔ Wi-Fi<br />✔ Free Parking<br /><br />See more below!",19648678,1463087024016718788,Ming,11,6,11,6,"Albany, NY","Hello! I’m a proud resident of Albany, NY, where i both live and work With a background in real estate and management, I bring years of expertise to hosting and caring for my own property here in Albany. In addition to managing vacation rentals, I also own a Japanese restaurant, so hospitality and guest satisfaction are at the heart of everything I do.

I look forward to welcoming you to Albany and sharing the best of the city with you!",t,https://a0.muscache.com/im/pictures/user/User/original/8ca5d0ce-dbd2-4cef-9a11-086c758cd7ba.jpeg?aki_policy=profile_x_medium,7,t,t,SIXTH WARD,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""Body soap"", ""Dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Wine glasses"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Heating"", ""Washer"", ""Smart lock"", ""Extra pillows and blankets"", ""Pets allowed"", ""Oven"", ""Noise decibel monitors on property"", ""Air conditioning"", ""Patio or balcony"", ""Essentials"", ""Coffee"", ""Clothing storage: closet"", ""Conditioner"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Cleaning products"", ""Stove""]",1,1125,1,3,1125,1125,2.7,1125.0,t,13,43,73,348,2026-02-15,332,1,0,303,3,6,2015-06-07,2025-06-30,4.73,4.83,4.71,4.83,4.7,4.8,4.72,7,7,0,0,2.55
9005989,20260215064701,2026-02-15,city scrape,"Studio in The heart of Center SQ, in Albany NY","(21 years of age or older ONLY) NON- SMOKING.. NO PARTIES Allowed.  Cozy basement apartment in a historic brownstone in the heart of ""Center Square"".  Surrounded by shops, restaurants, and night life. Walking distance to Albany Med, State Offices, The State Capital, and The Empire State Plaza. 30 mins from Saratoga Raceway. 50 mins from Lake George. 1/2 mile Palace theater",17766924,1463028469002798404,Sugey,11,7,9,6,"Albany, NY","Airbnb has transformed every part of my life for the better. What began as a small side hustle has grown into a cornerstone of my own American Dream. As a high school teacher, I’ve always cherished shaping the future, but hosting on Airbnb allows me to fully embrace and enhance my present. It’s become a creative outlet, enabling me to express my passion for art and design by curating unique, welcoming spaces for my guests. I hope to see you soon!",f,https://a0.muscache.com/im/pictures/user/ae311d04-cbca-423a-aa92-8a4b3d6997de.jpg?aki_policy=profile_x_medium,1,t,t,SIXTH WARD,42.65559,-73.76506,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Pets allowed"", ""Oven"", ""Portable fans"", ""Essentials"", ""Laundromat nearby"", ""Pack \u2019n play/Travel crib"", ""Conditioner"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free street parking"", ""Fire extinguisher"", ""Keypad"", ""Stove""]",1,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,16,2026-02-15,623,13,0,0,17,78,2016-08-07,2025-08-03,4.79,4.86,4.82,4.95,4.93,4.87,4.77,1,1,0,0,5.37
9501054,20260215064701,2026-02-15,city scrape,Spacious suite with full bath by Capital  Center,"Great location within walking distance to the Capital. It is a good size bedroom with WiFi internet . Private full bath.  We provide in the room a small refrigerator, Microwave ,coffee pot,iron ,hair dryer and  TV. Lots of entertainment nearby. Brew pubs, restaurants, the NYS Museum. Governor's Mansion. Washington Park.Capital Rep Theater as well as the Palace Theater.",29288920,1465431505328745177,Gregg,10,11,10,11,"Albany, NY",I am an Albany native .I have lived in Ireland and had a B & B in Tramore County Waterford back in the early nineties. While doing so we met a lot of wonderful people. I have been in the real estate business for over 30 years . I believe in keeping the mind and body fit. I am easy going and love a good laugh.,f,https://a0.muscache.com/im/users/29288920/profile_pic/1426286865/original.jpg?aki_policy=profile_x_medium,2,t,t,SECOND WARD,42.64734,-73.75851,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,2.0,"[""Smoke alarm"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Private entrance"", ""Hair dryer"", ""Mini fridge"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Iron"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Portable fans"", ""Essentials"", ""Lock on bedroom door"", ""Laundromat nearby"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Free street parking"", ""Lockbox""]",1,1125,1,1,1125,1125,1.0,1125.0,t,19,48,75,252,2026-02-15,448,38,1,252,43,228,2016-02-02,2026-01-25,4.57,4.72,4.51,4.84,4.87,4.76,4.67,2,1,1,0,3.67
10768745,20260215064701,2026-02-15,city scrape,Alb hospital area studio bath wifi. (Red),Spacious warm studio in 1840 house close to hospitals and downtown. Own bath flat screen cable tv wireless internet ground floor. Double bed coffee tea fridge microwave and parking. Suit 1. On park walk to post office cvs Chinese sports bar. Comfortable and decorated with taste. Irish host,5691268,1462687000374947891,Elizabeth,12,10,10,0,"Albany, NY",I'm Irish living in Albany NY.  I have 3 grown up kids.  I have 2 chihuauas    I am visiting Toronto to meet my sister and nephew who are visiting from Ireland.  Don't smoke or drink just love my dogs!,t,https://a0.muscache.com/im/pictures/user/d34e69f3-8c6e-48e7-b3f5-c2d42939675a.jpg?aki_policy=profile_x_medium,2,t,t,FOURTEENTH WARD,42.66078,-73.80553,Private room in guest suite,Private room,1,1.0,1 private bath,1.0,1.0,"[""Smoke alarm"", ""Ethernet connection"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Iron"", ""TV with standard cable"", ""Dedicated workspace"", ""Microwave"", ""Heating"", ""Patio or balcony"", ""Essentials"", ""Lock on bedroom door"", ""Single level home"", ""Free parking on premises"", ""Window AC unit"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Lockbox""]",1,1125,1,1,1125,1125,1.0,1125.0,t,18,47,75,183,2026-02-15,871,111,2,183,124,255,2016-02-05,2026-01-22,4.83,4.9,4.79,4.93,4.88,4.93,4.91,2,0,2,0,7.13
11253948,20260215064701,2026-02-15,city scrape,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,"Perfect for groups visiting Albany — this fully renovated 3-bedroom bungalow sleeps up to 10 guests comfortably in a convenient, walkable location near restaurants, bars, and shops.<br /><br />Relax in the open floor plan living space with a 77” LG OLED TV and Sonos surround sound.<br /><br />The home includes 1 king bed, 3 queen beds, optional airbeds, and easy parking with a two-lane driveway.<br /><br />Pets allowed on the first floor (gate available by request). $50 pet fee — please inquire before booking with pets.",4259750,1462534529294832741,Peter,13,2,10,7,"Albany, NY","I was born in Poland but grew up in NY and now i'm back in NY after grad school in Europe.  I love sailing, flying gliders, hiking, hammocks, cycling, photography, travel, minimalism, tennis,  podcasts, biohacking and my KJV.  I started traveling airbnb during my time in Europe and now I’m a host in NY! 
Listings:
airbnb.com/h/38eden
airbnb.com/h/55eden
airbnb.com/h/18home
airbnb.com/h/24miller
airbnb.com/h/24eden
airbnb.com/h/433western
www.airbnb.com/p/peter",t,https://a0.muscache.com/im/pictures/user/cca29440-809e-4dcd-a844-221898102fa5.jpg?aki_policy=profile_x_medium,8,t,t,FIFTEENTH WARD,42.67567,-73.82438,Entire place,Entire home/apt,10,2.0,2 baths,3.0,4.0,"[""Shower gel"", ""Coffee maker"", ""Hair dryer"", ""GE stainless steel gas stove"", ""Luggage dropoff allowed"", ""65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu"", ""Stainless steel oven"", ""Rice maker"", ""Pets allowed"", ""Exterior security cameras on property"", ""Toaster"", ""Coffee"", ""Window AC unit"", ""Sonos sound system with Bluetooth and aux"", ""Sun loungers"", ""Indoor fireplace: gas"", ""Dishwasher"", ""Clothing storage: walk-in closet and wardrobe"", ""Ethernet connection"", ""Outdoor dining area"", ""Cooking basics"", ""Iron"", ""Room-darkening shades"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""Books and reading material"", ""Conditioner"", ""Free washer \u2013 In unit"", ""Free parking on premises"", ""Hangers"", ""Refrigerator"", ""Fire extinguisher"", ""Cleaning products"", ""Kitchen"", ""Wifi"", ""Hot water"", ""Private entrance"", ""Private backyard \u2013 Not fully fenced"", ""Bed linens"", ""Bathtub"", ""Ceiling fan"", ""Baking sheet"", ""Safe"", ""BBQ grill"", ""Portable fans"", ""Outdoor furniture"", ""Self check-in"", ""Blender"", ""Babysitter recommendations"", ""Freezer"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Keypad"", ""High chair"", ""Outlet covers"", ""Smoke alarm"", ""Private patio or balcony"", ""Baby safety gates"", ""Body soap"", ""Fire pit"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water kettle"", ""Dining table"", ""Extra pillows and blankets"", ""Drying rack for clothing"", ""Laundromat nearby"", ""Garden view"", ""Pack \u2019n play/Travel crib"", ""First aid kit"", ""Barbecue utensils"", ""Baby bath"", ""Dishes and silverware"", ""Game console"", ""Board games"", ""Cleaning available during stay""]",1,1124,1,2,1124,1124,1.3,1124.0,t,30,60,90,362,2026-02-15,220,43,3,317,42,255,2016-05-29,2026-02-11,4.96,4.94,4.98,4.99,4.97,4.94,4.88,8,8,0,0,1.86
11639446,20260215064701,2026-02-15,city scrape,$55twin($30 foreign student)FreeBF Noa/c no smoke,"Regular breakfast free<br /><br />Lunch packed $5<br />Dinner Plate $10<br /><br />We updated cleaning protocol because of COVID-19 pandemic<br /><br />OUR PRIORITY IS ORGANIC LIFE SO OTHER THING IS LESS IMPORTANT <br />FREE LAUNDRY <br />AIR CONDITIONING <br />No parking space on premises just street parking<br />.<br />Internet High speed WiFi,<br />This building is 100 years older.<br />We don't use chemical pesticides ,chemical cleaning stuff.We use Vinegar,baking powder,biological pesticides .<br />Therefore not fancy clea",61700428,1466759141736283314,Abdullah,9,11,9,11,"Albany, NY","Guest's satisfaction and happiness is much more important than money!
顾客的满意远比赚钱重要!我的初衷是帮助更多的人､服务更多的人~
We provide emotional comfort more than physically comfortable
我们提供的情感舒适度超过身体舒适度.",f,https://a0.muscache.com/im/pictures/user/fcc2b09f-611c-457c-828b-43336a05dfae.jpg?aki_policy=profile_x_medium,2,t,t,ELEVENTH WARD,42.67583,-73.78297,Private room in home,Private room,1,1.5,1.5 shared baths,0.0,1.0,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Gas stove"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Shampoo"", ""Host greets you"", ""Safe"", ""Free dryer \u2013 In building"", ""Microwave"", ""Heating"", ""Long term stays allowed"", ""Oven"", ""Essentials"", ""Books and reading material"", ""Clothing storage: closet"", ""First aid kit"", ""Conditioner"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Free washer \u2013 In building"", ""Free street parking"", ""Breakfast""]",15,112,15,15,112,112,15.0,112.0,t,29,59,89,364,2026-02-15,231,0,0,319,0,0,2016-05-31,2024-02-29,4.81,4.87,4.37,4.94,4.96,4.52,4.87,2,0,2,0,1.95
